time,price_t,price_tplus,pred_tplus,spread,position,pnl,pnl_cum
2018-12-18 06:00:00,62.61,69.22,70.94984,1.7298367309570324,-1,-6.609999999999999,468.9799999999999
2018-12-18 07:00:00,69.22,72.94,74.006065,1.066065368652346,-1,-3.719999999999999,465.2599999999999
2018-12-18 08:00:00,72.94,72.95,75.497246,2.547245788574216,-1,-0.010000000000005116,465.2499999999999
2018-12-18 09:00:00,72.95,74.07,74.31856,0.24855773925781932,-1,-1.1199999999999903,464.1299999999999
2018-12-18 10:00:00,74.07,72.61,74.8015,2.191498413085938,-1,1.4599999999999937,465.58999999999986
2018-12-18 11:00:00,72.61,72.62,72.0087,-0.6113024902343795,1,0.010000000000005116,465.59999999999985
2018-12-18 12:00:00,72.62,71.45,72.71284,1.2628372192382784,-1,1.1700000000000017,466.76999999999987
2018-12-18 13:00:00,71.45,71.38,70.84578,-0.534220581054683,1,-0.07000000000000739,466.6999999999999
2018-12-18 14:00:00,71.38,71.47,72.00808,0.5380795288085949,-1,-0.09000000000000341,466.6099999999999
2018-12-18 15:00:00,71.47,71.22,72.52595,1.3059475708007824,-1,0.25,466.8599999999999
2018-12-18 16:00:00,71.22,72.67,72.77005,0.1000500488281233,-1,-1.4500000000000028,465.4099999999999
2018-12-18 17:00:00,72.67,75.08,75.29753,0.2175311279296892,-1,-2.4099999999999966,462.9999999999999
2018-12-18 18:00:00,75.08,75.54,76.31652,0.7765206909179625,-1,-0.46000000000000796,462.53999999999985
2018-12-18 19:00:00,75.54,73.76,74.85774,1.0977423095703074,-1,1.7800000000000011,464.3199999999998
2018-12-18 20:00:00,73.76,72.58,72.00843,-0.571569519042967,1,-1.1800000000000068,463.1399999999998
2018-12-18 21:00:00,72.58,68.99,70.05864,1.0686395263671926,-1,3.5900000000000034,466.7299999999998
2018-12-18 22:00:00,68.99,63.87,66.075645,2.2056454467773463,-1,5.119999999999997,471.8499999999998
2018-12-18 23:00:00,63.87,58.04,60.96583,2.9258317565917977,-1,5.829999999999998,477.6799999999998
2018-12-19 00:00:00,58.04,54.04,56.223873,2.1838731384277352,-1,4.0,481.6799999999998
2018-12-19 01:00:00,54.04,51.32,53.04991,1.7299114990234372,-1,2.719999999999999,484.39999999999975
2018-12-19 02:00:00,51.32,50.28,51.962963,1.6829631042480457,-1,1.0399999999999991,485.43999999999977
2018-12-19 03:00:00,50.28,49.25,51.688236,2.4382362365722656,-1,1.0300000000000011,486.4699999999998
2018-12-19 04:00:00,49.25,51.64,51.323338,-0.31666244506835994,1,2.3900000000000006,488.8599999999998
2018-12-19 05:00:00,51.64,55.95,60.671036,4.72103576660156,-1,-4.310000000000002,484.5499999999998
2018-12-19 06:00:00,55.95,66.93,65.749374,-1.1806256103515693,1,10.980000000000004,495.5299999999998
2018-12-19 07:00:00,66.93,70.7,72.00425,1.3042495727539034,-1,-3.769999999999996,491.7599999999998
2018-12-19 08:00:00,70.7,72.19,73.750854,1.5608544921875023,-1,-1.4899999999999949,490.2699999999998
2018-12-19 09:00:00,72.19,71.85,73.71969,1.8696884155273494,-1,0.3400000000000034,490.6099999999998
2018-12-19 10:00:00,71.85,71.66,71.77041,0.11040863037109716,-1,0.18999999999999773,490.7999999999998
2018-12-19 11:00:00,71.66,71.56,71.490425,-0.06957489013672102,1,-0.09999999999999432,490.6999999999998
2018-12-19 12:00:00,71.56,69.99,71.19594,1.2059381103515676,-1,1.5700000000000074,492.2699999999998
2018-12-19 13:00:00,69.99,69.51,69.58185,0.07184814453124488,-1,0.47999999999998977,492.7499999999998
